"","Player","Actual","Guaranteed","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","url","yrs_exp","age_yrs","draft_num","debut_yr","num_accolades","num_teams_1920","mid_season_trades","team","num_yrs_current_team","num_teams_played","injury_yrs","twitter_followers","NBA_titles","all_NBA","drafted","GS."
"402","Stanton Kidd",250000,250000,"SG",4,0,15,0,3,0,0,1,0,0,2,0,0,0,0,0,0,3,3,1,0,0,2,3,0,"https://www.basketball-reference.com/players/k/kiddst01.html",1,28.5672310957861,0,2019,0,1,0,"UTA",1,1,0,1950,0,0,FALSE,0
"403","Sterling Brown",1618520,1618520,"SF",52,1,767,95,256,0.371,44,136,0.324,51,120,0.425,0.457,32,40,0.8,31,152,183,51,29,7,42,54,266,"https://www.basketball-reference.com/players/b/brownst02.html",3,25.6677851938613,46,2017,0,1,0,"MIL",3,1,0,5935,0,0,TRUE,0.0192307692307692
"404","Steven Adams",25842697,53370787,"C",63,63,1680,283,478,0.592,1,3,0.333,282,475,0.594,0.593,117,201,0.582,207,376,583,146,51,67,94,122,684,"https://www.basketball-reference.com/players/a/adamsst01.html",7,27.2285075492372,12,2013,1,1,0,"OKC",7,1,0,218424,0,0,TRUE,1
"405","Sviatoslav Mykhailiuk",1416852,1416852,"SF",56,27,1265,166,405,0.41,115,285,0.404,51,120,0.425,0.552,57,70,0.814,17,87,104,106,41,4,61,87,504,"https://www.basketball-reference.com/players/m/mykhasv01.html",2,23.3379384967016,47,2018,0,1,0,"DET",2,2,0,47727,0,0,TRUE,0.482142857142857
"406","T.J. Leaf",2813280,7140105,"PF",28,1,222,36,86,0.419,5,18,0.278,31,68,0.456,0.448,7,16,0.438,23,48,71,9,10,4,8,22,84,"https://www.basketball-reference.com/players/l/leaftj01.html",3,23.4501927761907,18,2017,0,1,0,"IND",3,1,0,21072,0,0,TRUE,0.0357142857142857
"407","T.J. McConnell",3500000,4500000,"PG",71,3,1326,212,411,0.516,5,17,0.294,207,394,0.525,0.522,35,42,0.833,38,151,189,355,56,11,100,73,464,"https://www.basketball-reference.com/players/m/mccontj01.html",5,28.5480657309953,0,2015,0,1,0,"IND",1,2,0,54257,0,0,FALSE,0.0422535211267606
"408","T.J. Warren",10810000,35250000,"SF",67,67,2202,534,997,0.536,91,226,0.403,443,771,0.575,0.581,167,204,0.819,68,212,280,99,78,34,84,187,1326,"https://www.basketball-reference.com/players/w/warretj01.html",6,27.0998258142131,14,2014,0,1,0,"IND",1,2,0,51921,0,0,TRUE,1
"409","Taj Gibson",9800000,9800000,"C",62,56,1025,167,286,0.584,4,14,0.286,163,272,0.599,0.591,41,56,0.732,111,156,267,52,27,30,47,122,379,"https://www.basketball-reference.com/players/g/gibsota01.html",11,35.2998640354264,26,2009,1,1,0,"NYK",1,4,0,334763,0,0,TRUE,0.903225806451613
"410","Talen Horton-Tucker",898310,2416291,"SG",6,1,81,14,30,0.467,4,13,0.308,10,17,0.588,0.533,2,4,0.5,2,5,7,6,8,1,6,10,34,"https://www.basketball-reference.com/players/h/hortota01.html",1,19.8771071177792,46,2019,1,1,0,"LAL",1,1,0,43576,1,0,TRUE,0.166666666666667
"411","Terance Mann",1e+06,2517984,"SF",41,6,362,37,79,0.468,7,20,0.35,30,59,0.508,0.513,18,27,0.667,10,45,55,53,11,5,18,46,99,"https://www.basketball-reference.com/players/m/mannte01.html",1,23.9813471718219,48,2019,0,1,0,"LAC",1,1,0,9519,0,0,TRUE,0.146341463414634
