"","Player","Actual","Guaranteed","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","url","yrs_exp","age_yrs","draft_num","debut_yr","num_accolades","num_teams_1920","mid_season_trades","team","num_yrs_current_team","num_teams_played","injury_yrs","twitter_followers","NBA_titles","all_NBA","drafted","GS."
"434","Tristan Thompson",18539130,18539130,"PF",57,51,1721,288,562,0.512,9,23,0.391,279,539,0.518,0.52,99,161,0.615,226,351,577,120,33,50,103,124,684,"https://www.basketball-reference.com/players/t/thomptr01.html",9,29.5829954296993,4,2011,2,1,0,"CLE",9,1,0,668751,1,0,TRUE,0.894736842105263
"435","Troy Daniels",2509594,2509594,"SG",94,0,1064,144,372,1.136,92,264,1.005,52,108,1.459,1.494,20,32,0,24,80,104,34,22,6,24,74,400,"https://www.basketball-reference.com/players/d/danietr01.html",7,29.2436087615286,0,2014,0,3,2,"DEN",1,7,0,50227,0,0,FALSE,0
"436","Ty Jerome",2193480,4496520,"SG",31,0,328,38,113,0.336,14,50,0.28,24,63,0.381,0.398,12,16,0.75,7,39,46,44,15,3,18,29,102,"https://www.basketball-reference.com/players/j/jeromty01.html",1,23.2612770375384,24,2019,0,1,0,"PHO",1,1,0,16977,0,0,TRUE,0
"437","Tyler Cook",101504,151504,"PF-SF",26,0,108,16,24,1.867,0,0,0,16,24,1.867,1.867,14,16,2.708,12,16,28,2,6,0,6,10,46,"https://www.basketball-reference.com/players/c/cookty01.html",1,23.0504580248394,0,2019,0,3,2,"DEN",1,2,0,12287,0,0,FALSE,0
"438","Tyler Herro",3640200,7462440,"SG",55,8,1508,270,631,0.428,116,298,0.389,154,333,0.462,0.52,87,100,0.87,16,208,224,121,34,9,87,76,743,"https://www.basketball-reference.com/players/h/herroty01.html",1,20.7258589870867,13,2019,1,1,0,"MIA",1,1,0,304623,0,0,TRUE,0.145454545454545
"439","Tyler Johnson",19458123,19458123,"PG-SG",78,14,1418,194,500,1.173,76,238,0.997,118,262,1.335,1.408,84,100,2.59,36,116,152,148,32,18,58,116,548,"https://www.basketball-reference.com/players/j/johnsty01.html",6,28.4304497125469,0,2015,0,3,2,"BRK",1,3,0,22975,0,0,FALSE,0.179487179487179
"440","Tyler Zeller",245686,245686,"C",2,0,4,1,4,0.25,0,0,0,1,4,0.25,0.25,0,0,0,3,1,4,0,0,0,0,0,2,"https://www.basketball-reference.com/players/z/zellety01.html",8,30.7329173171483,17,2012,1,1,0,"SAS",1,7,0,46429,0,0,TRUE,0
"441","Tyson Chandler",2564753,2564753,"C",26,5,219,14,18,0.778,0,0,0,14,18,0.778,0.778,6,13,0.462,25,41,66,6,6,8,8,32,34,"https://www.basketball-reference.com/players/c/chandty01.html",19,38.0268216542338,2,2001,5,1,0,"HOU",1,8,0,795733,1,1,TRUE,0.192307692307692
"442","Tyus Jones",8408000,23895300,"PG",65,6,1232,197,429,0.459,47,124,0.379,150,305,0.492,0.514,43,58,0.741,9,94,103,285,59,6,55,44,484,"https://www.basketball-reference.com/players/j/jonesty01.html",5,24.4221505620106,24,2015,0,1,0,"MEM",1,2,0,158317,0,0,TRUE,0.0923076923076923
"443","Udonis Haslem",2564753,2564753,"C",4,1,44,4,11,0.364,1,3,0.333,3,8,0.375,0.409,3,4,0.75,1,15,16,1,0,0,1,6,12,"https://www.basketball-reference.com/players/h/hasleud01.html",17,40.3403549754108,0,2003,2,1,0,"MIA",17,1,0,407054,3,0,FALSE,0.25
"444","Victor Oladipo",2.1e+07,4.2e+07,"SG",19,16,528,97,246,0.394,33,104,0.317,64,142,0.451,0.461,48,59,0.814,9,66,75,56,17,4,47,36,275,"https://www.basketball-reference.com/players/o/oladivi01.html",7,28.4386634403144,2,2013,6,1,0,"IND",3,3,0,304571,0,1,TRUE,0.842105263157895
"445","Vince Carter",2564753,2564753,"PF",60,0,876,107,304,0.352,61,202,0.302,46,102,0.451,0.452,23,29,0.793,18,106,124,48,23,25,33,90,298,"https://www.basketball-reference.com/players/c/cartevi01.html",22,43.7078692805304,5,1999,4,1,0,"ATL",2,8,0,1043546,0,2,TRUE,0
"446","Vincent Poirier",2505793,5125000,"C",22,0,130,17,36,0.472,1,2,0.5,16,34,0.471,0.486,6,7,0.857,13,30,43,8,2,9,8,25,41,"https://www.basketball-reference.com/players/p/poirivi01.html",1,26.9848336254682,0,2019,0,1,0,"BOS",1,1,0,2728,0,0,FALSE,0
"447","Vlatko Čančar",1517981,2416291,"PF",14,0,45,6,15,0.4,1,6,0.167,5,9,0.556,0.433,4,4,1,5,5,10,3,1,1,3,7,17,"https://www.basketball-reference.com/players/c/cancavl01.html",1,23.5049509613073,49,2019,0,1,0,"DEN",1,1,0,2777,0,0,TRUE,0
"448","Wayne Ellington",7804878,7804878,"SG",36,1,558,61,174,0.351,50,143,0.35,11,31,0.355,0.494,11,13,0.846,4,61,65,44,13,4,18,41,183,"https://www.basketball-reference.com/players/e/ellinwa01.html",11,32.8684865366963,28,2009,0,1,0,"NYK",1,9,0,49246,0,0,TRUE,0.0277777777777778
"449","Wenyen Gabriel",898310,898310,"PF",60,2,470,42,96,1.275,12,40,0.842,30,56,1.618,1.447,30,44,2.032,42,62,104,16,22,14,32,78,126,"https://www.basketball-reference.com/players/g/gabriwe01.html",1,23.5459055205925,0,2019,0,3,2,"POR",1,2,0,37711,0,0,FALSE,0.0333333333333333
"450","Wesley Iwundu",1618520,1618520,"SF",52,21,953,97,233,0.416,28,82,0.341,69,151,0.457,0.476,78,97,0.804,24,107,131,60,25,13,26,80,300,"https://www.basketball-reference.com/players/i/iwundwe01.html",3,25.8101564751645,33,2017,0,1,0,"ORL",3,1,0,13597,0,0,TRUE,0.403846153846154
"451","Wesley Matthews",2564753,2564753,"SG",67,67,1635,167,422,0.396,108,297,0.364,59,125,0.472,0.524,52,68,0.765,22,144,166,92,38,9,43,103,494,"https://www.basketball-reference.com/players/m/matthwe02.html",11,33.9938813203951,0,2009,0,1,0,"MIL",1,6,0,257302,0,0,FALSE,1
"452","Will Barton",12960000,26880000,"SF",58,58,1916,332,738,0.45,108,288,0.375,224,450,0.498,0.523,102,133,0.767,76,289,365,212,61,29,88,121,874,"https://www.basketball-reference.com/players/b/bartowi01.html",8,29.7636974405842,40,2012,0,1,0,"DEN",6,2,0,42992,0,0,TRUE,1
"453","William Howard",50000,50000,"PF",2,0,13,0,4,0,0,4,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,1,0,"https://www.basketball-reference.com/players/h/howarwi01.html",1,26.9629303514216,0,2020,0,1,0,"HOU",1,1,0,2672,0,0,FALSE,0
"454","Willie Cauley-Stein",2177483,2177483,"C",108,78,2194,350,604,1.828,0,2,0,350,602,1.846,1.828,80,132,1.776,168,462,630,140,98,122,80,242,780,"https://www.basketball-reference.com/players/c/caulewi01.html",5,27.1491081808181,6,2015,1,3,2,"DAL",1,3,0,232687,0,0,TRUE,0.722222222222222
"455","Willy Hernangómez",1676735,1676735,"C",31,0,375,74,139,0.532,5,22,0.227,69,117,0.59,0.55,37,59,0.627,43,91,134,29,10,7,30,32,190,"https://www.basketball-reference.com/players/h/hernawi01.html",4,26.3770177706738,35,2016,1,1,0,"CHO",3,2,0,76034,0,0,TRUE,0
"456","Wilson Chandler",2564753,2564753,"PF",35,3,734,74,183,0.404,37,121,0.306,37,62,0.597,0.505,20,23,0.87,11,134,145,39,16,12,34,79,205,"https://www.basketball-reference.com/players/c/chandwi01.html",12,33.4243961951823,23,2007,0,1,0,"BRK",1,5,0,150147,0,0,TRUE,0.0857142857142857
"457","Yogi Ferrell",3150000,3150000,"PG",50,0,530,79,188,0.42,24,79,0.304,55,109,0.505,0.484,36,42,0.857,6,43,49,69,18,4,28,38,218,"https://www.basketball-reference.com/players/f/ferreyo01.html",4,27.425637015657,0,2016,1,1,0,"SAC",2,3,0,34291,0,0,FALSE,0
"458","Zach Collins",4240200,9646455,"PF",11,11,290,32,68,0.471,7,19,0.368,25,49,0.51,0.522,6,8,0.75,25,44,69,16,5,5,14,36,77,"https://www.basketball-reference.com/players/c/colliza01.html",3,22.8942831177047,10,2017,0,1,0,"POR",3,1,0,27597,0,0,TRUE,1
"459","Zach LaVine",19500000,58500000,"SG",60,60,2085,539,1199,0.45,184,484,0.38,355,715,0.497,0.526,268,334,0.802,41,248,289,254,88,28,206,131,1530,"https://www.basketball-reference.com/players/l/lavinza01.html",6,25.5911237346981,13,2014,1,1,0,"CHI",3,2,0,362034,0,0,TRUE,1
"460","Zach Norvell",50752,50752,"SG",10,0,82,6,24,0.523,6,16,0,0,8,0,0.784,2,2,0,0,12,12,6,4,0,6,8,20,"https://www.basketball-reference.com/players/n/norveza01.html",1,22.8395249325881,0,2019,0,3,2,"GSW",1,2,0,9509,0,0,FALSE,0
"461","Zhaire Smith",3058800,6263400,"SF",7,0,32,3,11,0.273,0,3,0,3,8,0.375,0.273,2,4,0.5,0,2,2,2,3,0,2,4,8,"https://www.basketball-reference.com/players/s/smithzh01.html",2,21.3556921954801,16,2019,0,1,0,"PHI",2,1,0,0,0,0,TRUE,0
"462","Zion Williamson",9757440,20002920,"PF",24,24,668,210,360,0.583,6,14,0.429,204,346,0.59,0.592,114,178,0.64,64,86,150,50,16,9,59,42,540,"https://www.basketball-reference.com/players/w/willizi01.html",1,20.2660043116595,1,2020,1,1,0,"NOP",1,1,0,471615,0,0,TRUE,1
